movie_name1,rotten_id1,rotten_rating1,movie_name2,rotten_id2,rotten_rating2
Strictly Ballroom,m/1045568,83.0,Romeo + Juliet,m/william_shakespeares_romeo_and_juliet,67.0
The Hobbit: An Unexpected Journey,m/the_hobbit_an_unexpected_journey,80.0,The Hobbit: The Desolation of Smaug,m/the_hobbit_the_desolation_of_smaug,66.0
Teenage Mutant Ninja Turtles (1990 film),m/teenage_mutant_ninja_turtles_the_movie,60.0,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,m/teenage_mutant_ninja_turtles_2_the_secret_of_the_ooze,89.0
The Vampire Lovers,m/vampire_lovers,85.0,Twins of Evil,m/271423865,61.0
The Blood of a Poet,m/the_blood_of_a_poet,74.0,Orpheus (film),m/orpheus,30.0
The Parent Trap (1961 film),m/1015944-parent_trap,45.0,The Parent Trap II,m/parent-trap-ii,56.0
The Saint in London,m/the_saint_in_london,44.0,The Saint in Palm Springs,m/the-saint-in-palm-springs,10.0
The Wicker Man,m/1023637-wicker_man,75.0,The Wicker Tree,m/cowboys-for-christ,52.0
The Decameron (1971 film),m/decameron,43.0,The Canterbury Tales (film),m/the_canterbury_tales,72.0
Scary Movie,m/scary_movie,79.0,Scary Movie 2,m/scary_movie_2,90.0
Underworld (2003 film),m/underworld,93.0,Underworld: Evolution,m/underworld_evolution,92.0
The Bourne Identity (2002 film),m/bourne_identity,94.0,The Bourne Supremacy (film),m/bourne_supremacy,71.0
The Skeleton Dance,m/the-skeleton-dance,82.0,The Ugly Duckling (1931 film),m/the_ugly_duckling_1931,36.0
